Age,1,1.2,1.3,1.4,1.5,1.6,2,2.3,2.5,2.8,3,3.3,3.5,3.8,4
<1,9.4,11.3,12.2,13.1,14.1,15,18.8,21.6,23.4,26.3,28.1,31,32.8,35.6,37.5
1 to <3,15.4,18.5,20,21.6,23.1,24.7,30.8,35.4,38.5,43.1,46.2,50.8,53.9,58.5,61.6
3 to <6,19.5,23.4,25.3,27.2,29.2,31.1,38.9,44.8,48.7,54.5,58.4,64.2,68.1,74,77.8
6 to <11,25.6,30.8,33.3,35.9,38.5,41,51.3,59,64.1,71.8,76.9,84.6,89.8,97.4,102.6
11 to <16,33.9,40.7,44.1,47.5,50.9,54.3,67.8,78,84.8,94.9,101.7,111.9,118.7,128.8,135.6
16 to <21,36.1,43.3,46.9,50.5,54.1,57.7,72.2,83,90.2,101,108.3,119.1,126.3,137.1,144.4
21 to <30,38.3,45.9,49.8,53.6,57.4,61.2,76.5,88,95.7,107.2,114.8,126.3,134,145.4,153.1
30 to <40,36.1,43.4,47,50.6,54.2,57.8,72.3,83.1,90.4,101.2,108.4,119.3,126.5,137.3,144.6
40 to <50,36.8,44.1,47.8,51.5,55.2,58.9,73.6,84.6,92,103,110.4,121.4,128.8,139.8,147.2
50 to <60,36.7,44,47.7,51.4,55,58.7,73.4,84.4,91.7,102.7,110.1,121.1,128.4,139.4,146.7
60 to <70,32.5,39,42.3,45.5,48.8,52,65,74.8,81.3,91,97.5,107.3,113.8,123.5,130
70 to <80,31.2,37.5,40.6,43.7,46.8,50,62.5,71.8,78.1,87.4,93.7,103.1,109.3,118.7,124.9
>80,29.6,35.5,38.4,41.4,44.4,47.3,59.1,68,73.9,82.8,88.7,97.6,103.5,112.4,118.3
